"hashtag","count","promoted"
"mondawmin",1,false
"granada hills",2,false
"#ythlive",1,false
"#tamaulipas",3,false
"#reynosa",1,false
"ted 2",3,false
"#musicmonday",7,false
"konami",9,false
"e&amp",8,false
"rgiii",1,false
"stephen hawking",6,false
"#founderfieldday",2,false
"#miglobal",10,false
"#bart",9,false
"north thurston high school",5,false
"billy corgan",16,false
"#liamisthepoolcleaner",3,false
"webby",1,false
"#notmytypeatallvideo",17,false
"#kamon997",12,false
"refused",11,false
"tamerlan",20,false
"#ciscops15",7,false
"jerrell freeman",1,false
"david bruck",1,false
"#mondaymotivation",21,false
"wendy sherman",2,false
"austin hatch",8,false
"charlie hebdo",1,false
"shanna peeples",4,false
"#mktgvelocity",4,false
"ian somerhalder",1,false
"catia",8,false
"spirit of the lord",8,false
"happy birthday nolan",2,false
"draft week",2,false
"james holmes",13,false
"good monday morning",3,false
"heroes of the dorm",1,false
"#madmen",16,false
"cap gemini",13,false
"we're already a man down",1,false
"#whcd",24,false
"broken age",9,false
"jon snow",2,false
"jurgen stark",4,false
"#rhoareunion",1,false
"nepal",38,false
"#theroyals",2,false
"new jack city",10,false
"the little mermaid",1,false
"tglc",6,false
"#infinity",34,false
"uc berkeley",4,false
"#fodirl",17,false
"#secretsandlies",17,false
"raptors",2,false
"rio vista",37,false
"monta ellis",18,false
"jj barea",14,false
"#rdmaswithjacob",27,false
"#starttag",3,false
"mavs",8,false
"#extremerules",42,false
"#andreachat",1,false
"#heroesofthedorm",24,false
