"hashtag","count","promoted"
"olicity",1,false
"#whenyoureboredoversummer",2,false
"#makeamoviemoist",2,false
"#wwenxt",1,false
"dipset ban",4,false
"ultron",4,false
"#voteforpatang",5,false
"the vision",7,false
"chicharito",6,false
"thierry henry",5,false
"#norubber",13,false
"#dinahdefensesquad",17,false
"jon gaunt",12,false
"#firstdates",23,false
"#weddinghour",9,false
"ronaldo",21,false
"real madrid",22,false
"robin williams",23,false
"#ontopictalkshow",8,false
"#newzoids",24,false
"hernandez",28,false
"oblak",2,false
"#wearethethey",26,false
"arda turan",3,false
"krishnan guru-murthy",6,false
"robert downey jr",5,false
"#handmadehour",6,false
"#walesdebate",29,false
"bernabeu",2,false
"#leaderinterviews",6,false
"atletico",17,false
"#taacousticoutnow",4,false
"scott brooks",4,false
"ramos",13,false
"#joeydevriescheerleadercover",3,false
"sandra bullock",3,false
"eisner",7,false
"#liveloungecameron",3,false
"#whereareunow",14,false
"bryana",9,false
"total war",7,false
"mac demarco",1,false
"christophermarlowe",4,false
"#flechewallonne",4,false
"investec derby trial",1,false
"#unpopularactionmovies",17,false
"bruce jenner",20,false
"navinder singh sarao",1,false
"chris leslie",3,false
"david gauke",3,false
"alex salmond",18,false
"joyce smith",1,false
"#earthday",30,false
"azhar ali",9,false
"hatton garden",24,false
"belle gibson",1,false
"#wikishappsfacts",29,false
"#cameronettes",26,false
"#museumstairs",26,false
"#quality2015",4,false
"claudia lawrence",20,false
"dagrin",20,false
"david laws",4,false
"jamelia",31,false
"wikipedia",4,false
"justin cut his hair",3,false
"dave lewis",18,false
"hounslow",1,false
"warren east",6,false
"#troyephotoshops",8,false
"#tesco",31,false
"at 7",5,false
"hawks",6,false
"#earthday2015",22,false
"iniesta",1,false
"#humpday",22,false
"#agentsofshield",2,false
"#depressingtvreboots",26,false
"grant shapps",22,false
"john major",10,false
"porto",10,false
"bayern",11,false
"blac chyna",6,false
"#describeheavenin5words",7,false
"#selfieforjacob",1,false
"#andthatswhywebrokeup",8,false
"#asknacks",15,false
"#milifandom",2,false
