"hashtag","count","promoted"
"HappyBDayKoba",2,false
"#Inter106AnosDeHistoria",2,false
"#AnoDaLibertacaoLL",3,false
"Globo Repórter",2,false
"#SrDasTagsVoltouFavQSigo",4,false
"#UmMesDeJulita",5,false
"RIP Hayley",6,false
"Esse César",6,false
"Esse Cezar",1,false
"RashidNaTVCultura",2,false
"#GloboJogandoSujoContraAmanda",3,false
"Orlando City",3,false
"#BatuquemosPorAmandaFinalista",13,false
"#RafaelSempreComTeresa",11,false
"TainaMullerEmBabilonia",15,false
"Brazil Needs Tyler Blackburn",15,false
"#AbsurdaLiveInstagram",15,false
"QueremosImagineDragonsNoBis",13,false
"The Sun",2,false
"#ObrigadoVioletta",19,false
"Ask Fernando",9,false
"Lobão",3,false
"#5HFridayWorthIt",18,false
"AVidaÉMaisColoridaComPerina",9,false
"#AFeiaMaisBela256",11,false
"DucaCSI",12,false
"NadaFoiCapazDeSepararCobrade",11,false
"OSonhoDoJoãoÉVocêBi",1,false
"#AUsurpadora005",17,false
"#NewShawnSongMonday",8,false
"Operação Babá",3,false
"Jesus de Nazaré",7,false
"Crepúsculo",5,false
"We Hacked Ian Somerhalder",34,false
"#SALUTEFIFAWWC",28,false
"#AskMadison",14,false
"RBDManiaco Hasta La Eternidad",22,false
"#batebolasemcensura",3,false
"Luxa",3,false
"Luxemburgo",5,false
"FERJ",1,false
"#HappyEunhyukDay",2,false
"#AmandaVenceuAceitaQDoiMenos",24,false
"Luciana Genro",24,false
"Feliz Páscoa",13,false
"#AcestaÉSantaMaisEuNao",1,false
"Padre Fábio de Melo",10,false
"QueremosAnaReBFragaNoEncontro",6,false
"Kim Jong-un",1,false
"Erenice Guerra",8,false
"Casa Civil",5,false
"#LancamentoDoClipeVoceMente",16,false
"#TalicksNoPaparazzo",19,false
"Via Sacra",2,false
"#FlyNoFeriadaoSBT",34,false
"#noticiasdamanha",2,false
"#PazNoAlemão",3,false
"Padre Réus",10,false
"Sexta-feira Santa",31,false
"Fabrício",3,false
"#NaMadrugadaEu",2,false
"Legião Umbanda",1,false
"Finalista",17,false
"#BatuquemosPorAmanda",10,false
"Trilogia",9,false
"Suel",3,false
"Thomaz Alckmin",11,false
"Hannah Montana",8,false
"#JustinBieberInTheVoiceBrazil",53,false
"Plantão da Globo",3,false
"TEAMGAYLIEBERS",44,false
"#FavSDVEmHomenagemAoSrDasTags",52,false
"#BruxoFazOsiteTremeFAV",21,false
"Adnet",4,false
"Dilma Bolada",28,false
"Alemão",8,false
"#VoteTrisMTV",1,false
"#PositividadeAmandaDjehdian",2,false
"Andressa Urach",21,false
"#FREEJackAndJackGame",11,false
"Alckmin",15,false
"#Samukano1D",25,false
"#TaNoAr",21,false
