"hashtag","count","promoted"
"#MCFC",26,false
"مخيم اليرموك",31,false
"#מכביבש",39,false
"West Bank",5,false
"#digitaldiplomacy",45,false
"#Turkey",37,false
"Syria",6,false
"Western Wall",59,false
"#FifthHarmony",2,false
"#BigData",6,false
"#20DaysOfDallas",14,false
"Easter",35,false
"#bigdata",13,false
"#happyeaster",3,false
"Gaza",42,false
"Liverpool",22,false
"Hamas",3,false
"happy passover",7,false
"Islamic",14,false
"turf moor",9,false
"burnley",44,false
"ليث ابو جوده",8,false
"Passover",6,false
"Michael Clifford",84,false
"Islamic State",31,false
"Palestinians",69,false
"#respectforzayn",33,false
"#Yarmouk",95,false
"#TheyreTheOne",54,false
"#VoteTrisMTV",80,false
"#HappyEaster",28,false
