"hashtag","count","promoted"
"#facup",1,false
"the crowds award",2,false
"shazam",16,false
"tehran",30,false
"palestinians",29,false
"fa cup",4,false
"chelsea",36,false
"#mbcthexfactor",36,false
"#המטההמרכזי",37,false
"#مهرجان_جرش",21,false
"go watch",18,false
"#savetheundies",66,false
"#greece",5,false
"iraq",5,false
"#proudoflouis",82,false
"#הסוד_הראשון",11,false
"gta v",78,false
"star wars",57,false
"worth it",78,false
"holocaust",45,false
"#ukraine",44,false
"shabbat shalom",77,false
"#yomhashoah",9,false
"#askthevamps",29,false
"#يوم_الاسير_الفلسطيني",49,false
"#תסמונת_אנ_טורט",85,false
