"hashtag","count","promoted"
"monte ellis",1,false
"aminu",1,false
"raptors",1,false
"#heroesofthedorm",1,false
"peggy",2,false
"espn 2",2,false
"jj barea",6,false
"devin harris",7,false
"jon snow",6,false
"#starttag",9,false
"#andreachat",9,false
"#habs",2,false
"wizards",10,false
"tori kelly",3,false
"carey price",7,false
"the raptors",1,false
"#rhoa",5,false
"chris paul",3,false
"chivas",7,false
"#daytimeemmys",13,false
"vamos chivas",2,false
"#extremerules",17,false
"danny green",1,false
"#rdmaswithjacob",18,false
"tidal",1,false
"#greencollar",2,false
"#ythlive",7,false
"jon jones",15,false
"blues",11,false
"#indycar",4,false
"crowder",3,false
"daniel bryan",1,false
"alex gordon",6,false
"kurt busch",3,false
"olynyk",1,false
"austin rivers",21,false
"parise",2,false
"#feministsareugly",16,false
"marcus smart",3,false
"james jones",5,false
"brandon bass",3,false
"#cantwaitfordigifest",16,false
"jr smith",10,false
"#cofannual",21,false
"#dreammachines",1,false
"kendrick perkins",20,false
"#fakejobfacts",2,false
"nigeria",1,false
"black ops 3",4,false
"#tidalfacts",16,false
"kevin love",21,false
"kelly olynyk",3,false
"john terry",4,false
"#obconf2015",4,false
"#sundayfunday",7,false
"#fattenamovie",31,false
"silent hills",7,false
"michael oliver",2,false
"fabregas",1,false
"#nerdland",4,false
"arsenal",11,false
"ospina",6,false
"adam wainwright",5,false
"#wtscapetown",8,false
"chelsea",21,false
"#npechicago",10,false
"#mufc",15,false
"di maria",6,false
"#bestfandomca2015",17,false
"fellaini",6,false
"everton",9,false
"coutinho",2,false
"cahill",4,false
"#boozingtvshows",9,false
"flushing ave",5,false
"good sunday",15,false
"nostrand ave",2,false
"#escapeussr",21,false
"don't look under the bed",3,false
"#londonmarathon",28,false
"mighty mouse",4,false
"#freddiegray",20,false
"#toonami",1,false
"bruce jenner",31,false
"cecily strong",1,false
"project x",1,false
"nepal",37,false
"mac dre",1,false
"#dubs",3,false
"#kamfamisproudofkam",19,false
"coors field",7,false
"guillermo del toro",20,false
"conley",14,false
"bucks",2,false
"that's so raven",30,false
"calgary",4,false
"flames",6,false
"#ufc186",20,false
"#larryalovetoremember",29,false
"#klitschkojennings",15,false
"anthony davis",17,false
"#sweep",10,false
"#whcd",42,false
