"hashtag","count","promoted"
"#BloodSweatHeels",1,false
"Send Me Emojis",2,false
"#TheGoodWife",2,false
"#MadMen",8,false
"#KUWTK",2,false
"#IfThereBeThorns",1,false
"#ADTheSeries",10,false
"SEND ME EMOJIS",8,false
"#NoMoreGOPWar",4,false
"Kawhi Leonard",1,false
"#RHOA",13,false
"God Bless America",1,false
"Cubs",13,false
"Rolling Stone",15,false
"Fall Out Boy",1,false
"#OpeningNight",3,false
"Twin Peaks",18,false
"LeBron",4,false
"#BlackGirlsRock",19,false
"#OMGrandeGames",1,false
"Paul George",10,false
"Padres",3,false
"Braves",21,false
"#sebsnewvideo",1,false
"#StellarAwards30",12,false
"#KidInLoveAtMidnight",13,false
"Bulls",3,false
"Joakim Noah",7,false
"Cavs",1,false
"#HappyEaster",1,false
"Kyrie",2,false
"Lebron",8,false
"#CapsWings",16,false
"#RoastingOfLuke",11,false
"#NewShawnSongAtMidnight",5,false
"JR Smith",9,false
"#ElderPearson",3,false
"Flyers",1,false
"Russ",5,false
"James Harden",11,false
"Westbrook",13,false
"Josh Smith",1,false
"#KINGYAMMOUNIsnapchat",11,false
"Joey Dorsey",2,false
"Avery Johnson",10,false
"#Flyers",5,false
"Kunitz",7,false
"#SelfieForJack",9,false
"Dion Waiters",2,false
"Kurt Cobain",7,false
"#NBAMVP",4,false
"Steve Mason",5,false
"#AmericanOxygen",8,false
"#ElderHolland",5,false
"American Oxygen",3,false
"#ElderTeixeira",2,false
"Ivory Coast",1,false
"Jermaine Defoe",1,false
"#SisterWixom",1,false
"Sunderland",10,false
"Defoe",4,false
"Kristoff",2,false
"#BlackChurch",4,false
"#SuperSoulSunday",11,false
"LOUIS IS 5",12,false
"Felices Pascuas",7,false
"#uppers",2,false
"#COYS",7,false
"#IfBandsWereChocolate",17,false
"Burnley",2,false
"Madrid",1,false
"#JesusPickUpLines",36,false
"Resurrection Sunday",2,false
"#JesusIsAlive",8,false
"Ronaldo",8,false
"HE IS ALIVE",3,false
"#HalaMadrid",1,false
"Because He",6,false
"Arbeloa",1,false
"#HalaMadridYNadaMas",1,false
"Kroos",1,false
"Granada",10,false
"Benzema",4,false
"La Liga",1,false
"#SunriseService",10,false
"Christ is Risen",12,false
"#ResurrectionSunday",37,false
"#RealMadridvsGCF",2,false
"Lincoln Memorial",8,false
"Carly Rae Jepsen",4,false
"Sunrise Service",5,false
"State Street",1,false
"Project X",3,false
"#TerribleFastFoodItems",8,false
"He is Risen",2,false
"Michael Keaton",4,false
"Frank Kaminsky",1,false
"#Badgers",2,false
"#njattack",15,false
"Kylie",1,false
"#Wisconsin",4,false
"#1DAFinCollege",19,false
"Happy Easter",65,false
"#The8thDeadlySin",14,false
"Lexington",14,false
"Andrew Harrison",49,false
"Damn Kentucky",2,false
"Towns",2,false
"Kaminsky",18,false
"Sam Dekker",4,false
"Coach Cal",7,false
"Ashley Judd",21,false
"Calipari",19,false
"#RespectForZayn",25,false
"#ASKCHRISTIAN",18,false
"#FinalFour",26,false
