"hashtag","4-02","4-03","4-04","4-05","4-06","4-07","4-08","4-09","4-10","4-11","4-12","4-13","4-14","4-15","4-16","4-17","4-18","4-19","4-20","4-21","4-22","4-23","4-24","4-25","4-26","4-27"
"#csislive",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0
"#lhhnyreunion",0,0,0,0,13,0,0,0,0,0,0,15,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"#dwts",0,0,0,0,13,0,0,0,0,0,0,14,6,0,0,0,0,0,8,6,0,0,0,0,0,0
"#ncaachampionship",0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#bettercallsaul",0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#worldhealthday",0,0,0,0,0,52,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"good tuesday",0,0,0,0,0,11,0,0,0,0,0,0,10,0,0,0,0,0,0,7,0,0,0,0,0,0
"#nationalbeerday",0,0,0,0,0,44,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#esea",0,0,0,0,0,15,0,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"#walterscott",0,0,0,0,0,20,41,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#rhony",0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#agentsofshield",0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"kawhi leonard",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
"#beingmaryjane",0,0,0,0,0,6,23,0,0,0,0,0,11,28,0,0,0,0,0,0,0,0,0,0,0,0
"#findingcarter",0,0,0,0,0,6,15,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"pelicans",0,0,0,0,0,5,5,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0
"anthony davis",0,0,0,0,0,0,10,0,0,0,0,0,0,6,14,0,19,0,0,0,0,0,20,0,0,0
"adrian gonzalez",0,0,0,0,0,0,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#confirmlynch",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
"derrick rose",0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,7,0,0,0
"#nphwchat",0,0,0,0,0,0,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ios 8.3",0,0,0,0,0,0,41,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#bostonbombing",0,0,0,0,0,0,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#capsbruins",0,0,0,0,0,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"send me questions",0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bob schieffer",0,0,0,0,0,0,10,12,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#blackish",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"#rejectedhobbies",0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#catfish",0,0,0,0,0,0,5,16,0,0,0,0,0,5,14,0,0,0,0,0,6,6,0,0,0,0
"#rbdivasla",0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cherry bomb",0,0,0,0,0,0,0,23,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"big sean",0,0,0,0,0,0,0,32,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#bestofdc2015",0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lincoln chafee",0,0,0,0,0,0,0,13,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"ian desmond",0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"strasburg",0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"jordan spieth",0,0,0,0,0,0,0,19,14,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#frozenfour",0,0,0,0,0,0,0,19,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rochelle",0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"troy polamalu",0,0,0,0,0,0,0,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bruins",0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"steph curry",0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0
"#daredevil",0,0,0,0,0,0,0,0,29,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#f1onnbc",0,0,0,0,0,0,0,0,6,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"daredevil",0,0,0,0,0,0,0,0,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#nationalsiblingsday",0,0,0,0,0,0,0,0,45,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#fridayreads",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"#hillarysbigannouncement",0,0,0,0,0,0,0,0,26,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"marco rubio",0,0,0,0,0,0,0,0,6,0,0,51,23,6,0,0,0,0,0,0,0,0,0,0,0,0
"michael taylor",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"#grimm",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"tim duncan",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
"coachella",0,0,0,0,0,0,0,0,0,41,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"good saturday",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0
"everton",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"chicharito",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"tim sherwood",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"burnley",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"neymar",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"capitol",0,0,0,0,0,0,0,0,0,18,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,0
"#explainyourusername",0,0,0,0,0,0,0,0,0,9,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#pbconnbc",0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nelly",0,0,0,0,0,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#thereisnosexywayto",0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#toonami",0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
"good sunday",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,17,0
"#hillary2016",0,0,0,0,0,0,0,0,0,0,38,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bartolo colon",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,9,0,0,0,0
"#mtvmovieawards",0,0,0,0,0,0,0,0,0,0,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fernando rodney",0,0,0,0,0,0,0,0,0,0,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"#gameofthrones",0,0,0,0,0,0,0,0,0,0,11,31,0,0,0,0,0,0,0,0,0,0,0,0,9,22
"lou holtz",0,0,0,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#earthquake",0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"madonna",0,0,0,0,0,0,0,0,0,0,0,43,23,0,0,0,0,0,0,0,0,0,0,0,0,0
"#spacex",0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"#thelead",0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"crabtree",0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"#blackinkcrew",0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"barter 6",0,0,0,0,0,0,0,0,0,0,0,7,22,0,41,12,0,0,0,0,0,0,0,0,0,0
"klay thompson",0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,11,0,0,0,0,0,0
"#ideaconf15",0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0
"#rickychat",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0
"#equalpayday",0,0,0,0,0,0,0,0,0,0,0,0,30,14,0,0,0,0,0,0,0,0,0,0,0,0
"#googledoodle",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0
"real madrid",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,12,0,0,0,0,0
"paul pierce",0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,21,31,0,0,0,0,0,5,0,0
"#theflash",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0
"harvey",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0
"#fords150",0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0
"john wall",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,18,27,0,7,12,0,0,0,0,0
"pacers",0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0
"jalen rose",0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0
"#ashokaatskoll",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0
"#fightfor15",0,0,0,0,0,0,0,0,0,0,0,0,0,34,18,0,0,0,0,0,13,0,0,0,0,0
