"hashtag","count","promoted"
"Neutrox",2,false
"Wannabe Jalva",1,false
"#FavQTeSigoeSejaFeliz",2,false
"Tianastácia",2,false
"#PanicoNaBand",1,false
"Thiaguinho",1,false
"Fernanda Lima",2,false
"André Marques",4,false
"Paulo Ricardo",3,false
"#Superstar",5,false
"BoaSorteSantoVittiNoTI",1,false
"#AmandaDjehdianNoSuperStar",1,false
"Daenerys",6,false
"#FlyNossoMaiorOrgulho",1,false
"Chris Evans",5,false
"Robert Downey Jr",7,false
"Dylan Is Our Hero",8,false
"#GameOfThronesSeason5",12,false
"WeAreProudOfShailene",13,false
"#ElianaPlantaBananeira",1,false
"Magic Mike",1,false
"#TrofeuImprensa",15,false
"Roda a Roda",2,false
"#LuaChat",11,false
"Faustão",1,false
"#MTVMovieAwards",16,false
"#2DaysUntilHandwritten",5,false
"Paula Toller",5,false
"#MTVAYTOBR",6,false
"#ChaySuedeNoDomingão",9,false
"Arthur Maia",9,false
"Dagoberto",18,false
"Arrascaeta",19,false
"Damião",11,false
"Leonardo Silva",7,false
"#RottenEggChallenge",17,false
"Cirino",3,false
"Paulo Victor",22,false
"VAMOS FLAMENGO",3,false
"Giuliano",3,false
"Ramiro",3,false
"Globo News",1,false
"#RangelNaEliana",31,false
"Pratto",2,false
"#CUTYOURHAIRJUSTIN",18,false
"Paulista",11,false
"Aguero",4,false
"#DomingoLegal",8,false
"Roberta Miranda",1,false
"Seu Jorge",12,false
"#Esquenta",2,false
"André Santos",4,false
"Dudu",8,false
"De Gea",1,false
"#AceitaDilmaVez",32,false
"#RevealMariah",8,false
"United",18,false
"Manchester",9,false
"Prass",5,false
"Praça da Liberdade",2,false
"#ValentinoEuFavSDV",25,false
"QPR 0x0 Chelsea",1,false
"Sada",8,false
"Leandro Pereira",15,false
"Sesi",11,false
"#SuperligaMasculina",9,false
"#AvanteSadaCruzeiro",1,false
"QPR x Chelsea",4,false
"Paulo Brossard",10,false
"Globo Rural",5,false
"#MariaEuSeiQueVoceTreme",16,false
"#4DaysUntilFly",5,false
"VAMOS PALMEIRAS",15,false
"#explainyourusername",2,false
"#HojeFlyNoTeatroBradesco",21,false
"Cidreira",8,false
"#musichackinpoa",3,false
"GP da China",4,false
"Verstappen",1,false
"Safety Car",9,false
"Ericsson",1,false
"Maldonado",20,false
"#ChineseGP",12,false
"Ricciardo",1,false
"Hamilton",21,false
"Vettel",19,false
"Nasr",5,false
"#canalharesponde",30,false
"Fórmula 1",5,false
"Cleber Machado",3,false
"#NoFakeEu",61,false
"McGuimêNoAltasHoras",3,false
"#pernasday",3,false
"DO ÓDIO AO AMOR",1,false
"HappyBirthdayIsaDrummond",7,false
"QueremosMikaNoAltasHoras",5,false
"João e Maria",9,false
"Caju e Castanha",11,false
"#HappyBDayTMills",32,false
"#FestaForumParte2",3,false
"MANDEM FOTOS DE VCS",37,false
"#DjSkullBlondieNaPipperClubRJ",9,false
"#BeloNoMultishow",13,false
"#FicoEmCasaNoSábadoPorque",25,false
