"hashtag","count","promoted"
"자진사퇴",1,false
"추모식",4,false
"어벤저스",5,false
"씨지발",2,false
"CGV 서버",5,false
"아이맥스",6,false
"왕아맥",6,false
"씨지비",6,false
"식물정부",1,false
"아쿠아리스트",7,false
"루돌프",6,false
"하스스톤",12,false
"엘리자벳",12,false
"신성록",3,false
"선녀엘리",6,false
"안마톧",6,false
"루케니",7,false
"우지원",1,false
"인거님",2,false
"정권퇴진",7,false
"기념사진",3,false
"비타3000",8,false
"엠바고",1,false
"폰스스톤",8,false
"USB 확보",12,false
"아틀레티코",1,false
"새벽조",8,false
"갓종현",2,false
"세월호 추모식",21,false
"오블락",13,false
"유벤투스",10,false
"마드리드",13,false
"아시아나기",8,false
"세계일보",15,false
"#Thanks4BlockB",4,false
"중얼봇",10,false
"#멘션한_트친에게_해준다",2,false
"#자캐의_게임_포지션",1,false
"한예종",4,false
"#자캐의_의외인_설정",1,false
"#준면아사랑해",1,false
"#그냥_과거그림을_올린다",21,false
"최고의행운",1,false
"비타500",40,false
"싸인씨디",6,false
"블락비",9,false
"종대 라이브",1,false
"지누션",14,false
"최고의 행운",13,false
"푸른밤",26,false
"사무관",4,false
"현인상",22,false
"오스트",8,false
"연애력",5,false
"#저는_트친분들께_몇번인가요",30,false
"오에스티",1,false
"장래희망",7,false
"#비에이피부당계약",1,false
"권용관",4,false
"송은범",4,false
"관음대상",15,false
"애완동물",3,false
"스퀴즈",4,false
"성완종 다이어리",4,false
"#내가_신랑이라면_결혼하겠다_RT",31,false
"#자캐의_멘션한_캐를_부르는_호칭",35,false
"#파는_장르에_게이를_붙여보자",34,false
"골든위크",3,false
"에바리스트",6,false
"테크웨이",12,false
"살가드",12,false
"아두치",4,false
"머리모양",8,false
"도검난무",2,false
"평소성격",4,false
"#전공을_살려_유익한_정보를_말해보자",40,false
"천혜향",7,false
"이총리",10,false
"세계평화",9,false
"원온카",13,false
"따개비",2,false
"눈동자색",9,false
"삭제 단독",7,false
"창세기전",2,false
"유승민 새누리당",1,false
"이정현",14,false
"헬기 911",3,false
"창세기전4",1,false
"특검 검토",1,false
"성완종 인터뷰 녹음파일",2,false
"가슴사이즈",7,false
"위인전",27,false
"암투병",6,false
"김준수 눈물",6,false
"성완종 인터뷰 녹음",5,false
"서재페",4,false
"정홍원",13,false
"인피니트H",1,false
"자진하차",10,false
"지하미궁",4,false
"모야시몬",5,false
"JYJ법",10,false
"총리직",13,false
"총리 직무",11,false
"성완종 인터뷰 녹음파일 3차",3,false
"블랙데이",21,false
"#자신이_자주_마시는_음료_3가지",38,false
