"hashtag","count","promoted"
"wendy williams",3,false
"#demiweareexcitedford5",3,false
"#globoreporter",1,false
"paul pierce",4,false
"#whereiwaswhenzaynquit",5,false
"khloe",3,false
"dirk",2,false
"#bringit",6,false
"joker",11,false
"#brucejennerabc",1,false
"bruce jenner",12,false
"yanis",10,false
"#ممدوح_بن_عبدالرحمن_يشتم_جستنيه",10,false
"cid moreira",8,false
"#liamyoumakeushappy",15,false
"超会議",18,false
"#5hpoolparty",18,false
"1 year 1d in south america",4,false
"#ysitedigoque",20,false
"#لو_بيدك_سلطه_شتسوي",8,false
"josh hamilton",13,false
"#vtep",13,false
"#beyazshow",8,false
"#voutelevarprasempremalhação",8,false
"frank miller",12,false
"#elturnodebelen",7,false
"#masterchefuk",2,false
"#ripsabeen",3,false
"gundogan",15,false
"prince of pop",22,false
"#kohlanta",19,false
"koh lanta",1,false
"lorient",2,false
"#omfcl",14,false
"#milletkanağliyor",1,false
"normal people",2,false
"#awkwardgreetingsin5words",11,false
"#haydarbaşbtp",2,false
"malik newman",3,false
"#juroquehoyno",4,false
"statue of liberty",11,false
"blue ivy",19,false
"#بالضاحيه",8,false
"#اغنيه_بتروق_مودك",11,false
"tom's diner",28,false
"#twentyonepilotsmtv",1,false
"#sóacabecinha",3,false
"الحبيب الاولي",4,false
"jobson",9,false
"omar khadr",3,false
"richard corliss",4,false
"#buenviernes",15,false
"#ساعه_استجابه",14,false
"juve",5,false
"寄生獣",7,false
"google maps",11,false
"#نواف_شريف_العنزي",9,false
"barcelona x bayern",1,false
"#السعوديه_تحبط_عمليه_ارهابيه",20,false
"#forevermoresurprise",7,false
"#كيف_يراك_فولورزك",17,false
"ミギー",13,false
"#afltigersdees",1,false
"aiko",1,false
"三代目",2,false
"낮져밤",9,false
"ラプンツェル",29,false
"barça - bayern",10,false
"暗殺教室",2,false
"mステ",21,false
"el clasico",3,false
"uefa",2,false
"sevilla - fiorentina",1,false
"#callmebaby13thwin",10,false
"الدوري الاوروبي",1,false
"教室続編",1,false
"صالح الاعمال",3,false
"#ucldraw",15,false
"#قرعه_دوري_ابطال_اوروبا",16,false
"#pangakosayoteaserlaunch",10,false
"暗殺教室続編",5,false
"#ermenisoykırımı",16,false
"#ashucries",13,false
"#يوم_الجمعه",1,false
"jonty rhodes",4,false
"نور مابين الجمعتين",3,false
"#dapatkasi",8,false
"milika",2,false
"#كذبه_ودك_تصدقها",12,false
"#화양연화",1,false
"rakel dink",11,false
"hayırlı cumalar",25,false
"warriors",9,false
"malafaia",1,false
"anthony davis",19,false
"golden state",1,false
"eric gordon",1,false
"#namoral",19,false
"steph curry",25,false
"milett",10,false
"blac chyna",1,false
"yordano ventura",2,false
"furious 8",4,false
"#xtremeshakespeare",19,false
"#todoseriamejorsi",15,false
"ryan anderson",7,false
"#mattsnewvideo",2,false
"#vertigo",12,false
"#greysanatomy",21,false
