"hashtag","count","promoted"
"#whcd",3,false
"#klitschkojennings",3,false
"jennings",1,false
"#ufc186",8,false
"isaac",7,false
"#resistcapitalism",18,false
"jimmy butler",17,false
"#preorderdiamondgirl",4,false
"alfie sigurdsson",3,false
"kate bush",22,false
"scary movie",1,false
"gary lineker",10,false
"alan green",2,false
"#worstcrisissincetheabdication",23,false
"match of the day",3,false
"#motd",20,false
"inside man",21,false
"north ferriby",28,false
"lawson",6,false
"#playtothewhistle",6,false
"#bgmt",9,false
"gary ballance",7,false
"joe hart",2,false
"diversity",9,false
"#isaacbgt",8,false
"#britainsgottalent",26,false
"barnet",10,false
"#angrywords",6,false
"#ninjawarrioruk",10,false
"tom cleverley",8,false
"kolarov",4,false
"#mcfcvavfc",3,false
"millwall",1,false
"football league",12,false
"#ruinaromanticmomentin4words",41,false
"#nepalearthquake",14,false
"guzan",14,false
"boro",7,false
"tranmere",9,false
"#lcfc",7,false
"fulham",2,false
"#mirandasingsisgoals",6,false
"burnley",5,false
"just a par",4,false
"#reclaimbrixton",18,false
"half time",5,false
"special tiara",3,false
"#watfordfc",7,false
"ben davies",7,false
"chadli",6,false
"watford",21,false
"pelle",11,false
"#coys",10,false
"lamela",3,false
"#soutot",3,false
"colin bloomfield",8,false
"#dysfunctionalfamily2",4,false
"kathmandu",1,false
"#catcinema",10,false
"soccer am",3,false
"#gallipoli100",3,false
"#villagate",28,false
"#askjake",1,false
"#dollgate",24,false
"kris humphries",7,false
"bristol west",1,false
"nepal",37,false
"colne valley",1,false
"#saturdaykitchen",10,false
"#anzacday",7,false
"#satchatuk",3,false
"badou jack",5,false
"game day",5,false
"hyde park corner",1,false
"6 vcs",1,false
"#blogcampuk",8,false
"#thanksap",22,false
"#earthquake",8,false
"#seizetheday",1,false
"#blogcamp",1,false
"#masterchefuk",2,false
"#saysomethingniceabouthillary",2,false
"#graceshow",3,false
"perez hilton",6,false
"pens",1,false
"#dawnservice",5,false
"paul pierce",3,false
"wendy williams",11,false
"#awkwardgreetingsin5words",4,false
"#whereiwaswhenzaynquit",48,false
"#dirrelljack",9,false
"#anzac100",15,false
"kyle walker",38,false
"joker",34,false
"bruce jenner",45,false
