"hashtag","count","promoted"
"Stephen Curry",1,false
"#FoodBabeFacts",1,false
"#LetsGoWarriors",1,false
"#SPLASH",3,false
"#WarriorsGround",3,false
"Padres",4,false
"Anne Hathaway",1,false
"Troy Polamalu",5,false
"Maxwell",5,false
"#JACC15",5,false
"#ChristianPressPlayCT",5,false
"Kendall",6,false
"Crawford",3,false
"#FrozenFour",7,false
"Census Bureau",3,false
"#STEMchat",6,false
"Michael Beasley",4,false
"Rochelle",12,false
"Richie Benaud",4,false
"#friends",11,false
"Ian Kennedy",1,false
"#RejectedCheesecakeFlavors",14,false
"Jamaica",8,false
"#ThirstyThursday",16,false
"Graveman",12,false
"Bobby Hurley",9,false
"Jed Lowrie",2,false
"#SFPforum",8,false
"Trevor Bauer",1,false
"Jordan Spieth",20,false
"PG&amp",21,false
"#SU4T",11,false
"#StandUp4Transportation",13,false
"Black Ops 3",18,false
"Matt Harvey",19,false
"True Detective",25,false
"Lynda",2,false
"#PrayForMamaSwift",32,false
"#AWSSummit",36,false
"Charley Hoffman",4,false
"MacBook",23,false
"Orange is the New Black",6,false
"Lincoln Chafee",4,false
"#MW2015",7,false
"#Masters2015",2,false
"#ACGlobalEcon",13,false
"#Walk2Work",19,false
"#AWP15",17,false
"#SalesforceTour",11,false
"Le'Veon Bell",9,false
"LEGO Dimensions",8,false
"#walk2work",6,false
"Listeria",2,false
"Appomattox",4,false
"#AnimalFacts",12,false
"Sabra",7,false
"#NationalBeerDay",22,false
"#WaysToEnjoyAGoodLife",24,false
"Big Sean",47,false
"iOS 8.3",28,false
"Apple Watch",30,false
"#WalterScott",28,false
"That's So Raven",1,false
"#Nashville",6,false
"#CSICyber",4,false
"Joey Votto",3,false
"Ariana",15,false
"Lizzie McGuire",11,false
"Justin and Ariana",4,false
"#idol",1,false
"Kazmir",2,false
"Casey McGehee",7,false
"Cherry Bomb",26,false
"McGehee",3,false
"#WhyILove5H",6,false
"#UXNight",10,false
"#GoTBetrayals",2,false
"Cody Ross",4,false
"#RejectedHobbies",19,false
"Mark Canha",12,false
"Prince Fielder",9,false
"Heston",41,false
"Adrian Gonzalez",26,false
"#BirdBands",47,false
