"hashtag","count","promoted"
"#happybdaymichaelband",3,false
"heath ledger",6,false
"bruce jenner",7,false
"#globoreporter",8,false
"bruce",2,false
"coringa",11,false
"#christinaperrinobis",3,false
"#prasemprevouteamargaby",2,false
"josh",3,false
"#pninersqueremp9nompn",13,false
"cid moreira",16,false
"timberlake",11,false
"queremospaporetojadianca",9,false
"#demiweareexcitedford5",17,false
"fernandaeandrenolatelier",3,false
"#5hpoolparty",19,false
"jesyyouaregoodenoughtous",5,false
"hushers are still here",8,false
"#liamyoumakeushappy",22,false
"#handwrittenonspotify",4,false
"#baladateengeraçãoz",10,false
"terry crews",5,false
"#vocetremetremetreme",3,false
"mandaaíarthur",9,false
"#malhacao20anos",2,false
"#ausurpadora020",11,false
"allformecobrade",3,false
"#voutelevarprasempremalhação",18,false
"#askesther",4,false
"prince of pop",35,false
"#votemikaeluanopjb",7,false
"queremosamandadnoencontro",8,false
"blue ivy",15,false
"#sophiaabrahãonocastanheira",4,false
"como se fosse a primeira vez",4,false
"#vocêéfrangaéfrangaéfranga",21,false
"debby ryan",6,false
"google maps",7,false
"#ripvaleriamaquine",9,false
"jobson",19,false
"berton",2,false
"#vídeonovo5incominutos",17,false
"faith no more",4,false
"maurício mattar",11,false
"#tudoqueeusemprequisbysophia",10,false
"fgts",1,false
"#encontrocombrunahamu",16,false
"#calypsonobemestar",3,false
"juve",2,false
"pizzolato",19,false
"união",7,false
"sartori",1,false
"tom's diner",40,false
"semifinais da champions",1,false
"#tomacuidadorapa",13,false
"#sóacabecinha",37,false
"chimarrão",4,false
"#callmebaby13thwin",7,false
"the middle",4,false
"turim",2,false
"#welcometobrazilshinee",3,false
"juve x real",4,false
"#sorteionoei",6,false
"barcelona x bayern",30,false
"europa league",1,false
"#ucldraw",11,false
"#mycalvins",3,false
"hoje é sexta",19,false
"chasing cars",1,false
"derek shepherd",5,false
"stephen curry",6,false
"#화양연화",7,false
"jimmy fallon",1,false
"ex-bbbs aline e fernando",5,false
"feliciano",10,false
"clube da luta",1,false
"#greysanatomy",2,false
"#digitaqeuleio",6,false
"cathan",4,false
"#sdvcomahobbit",2,false
"milika",24,false
"odete roitman",4,false
"shonda",7,false
"#vamosnospermitirlgbt",5,false
"vida alves",5,false
"#suquinho",2,false
"pelicans",5,false
"malafaia",1,false
"curry",10,false
"#namoral",31,false
"bucks",2,false
"inês",5,false
"furious 8",12,false
"clarona ask",8,false
"derek",16,false
"#ferlinevivaredondo",10,false
"#sextadofavqtesigosemunf",65,false
"#brasilsemredeglobo",3,false
"#mattsnewvideo",13,false
"#todosmijamosnaprivada",22,false
