"hashtag","count","promoted"
"£8bn NHS",2,false
"#GraceShow",3,false
"#UnspectacularSurnames",2,false
"Jinns",4,false
"#SleazeMaajid",4,false
"#MoviesWithFeet",11,false
"Alan Carr",9,false
"#Showgirls",13,false
"James Yammouni",16,false
"Coachella",15,false
"Maajid Nawaz",14,false
"Will Self",18,false
"Ben Crenshaw",13,false
"First Blood",7,false
"#grahamnorton",22,false
"#chattyman",3,false
"Rory",1,false
"Maisie Williams",3,false
"U Mad",12,false
"Dustin Johnson",9,false
"#LoveMeSo",11,false
"Callum Wilson",8,false
"#AskCam3",26,false
"#gogglebox",26,false
"Leon Best",1,false
"Silent Jay",1,false
"#HIGNFY",8,false
"Sinoti Sinoti",6,false
"Timothy West",8,false
"Quillin",1,false
"Horne",1,false
"Nathan Hughes",10,false
"#bbcaq",4,false
"Jordan Spieth",9,false
"#gbloggers",1,false
"#asklucy",6,false
"Jimmy Somerville",6,false
"Diane",4,false
"#CondimentAFilm",7,false
"Rajdhani Express",3,false
"Spieth",5,false
"Big Narstie",1,false
"#tyleroakleytwittermeetup",6,false
"Boga",4,false
"#TalkToMeChasingMidnight",2,false
"Barters Hill",12,false
"Faulkner",4,false
"Thistlecrack",9,false
"#LOTPAcousticVideo",11,false
"Sefton Novices",4,false
"Osiris",2,false
"#HippieMovies",6,false
"Gok Wan",1,false
"#1DisFinallyFreeFromModest",24,false
"Champagne Fever",6,false
"#NationalSiblingsDay",43,false
"Don Cossack",19,false
"Modest",2,false
"The Saint James",2,false
"New Balance",5,false
"Saphir Du Rheu",9,false
"Carole's Destrier",1,false
"Glingerburn",1,false
"Cyrus Darius",2,false
"Theinval",2,false
"#HoldNothingBack",7,false
"#AskAWomanTwitterEdition",11,false
"#AskAManTwitterEdition",1,false
"Frankie Gavin",10,false
"Moira Gemmill",12,false
"#LifeWithASprinkleOfGlitter",12,false
"#S6EdgeofSpace",2,false
"#GlitterAtNoon",1,false
"Stuart Pearce",19,false
"#S6EdgeOfSpace",8,false
"Thomas Tuchel",3,false
"Harry Redknapp",5,false
"Stockwell",11,false
"#BrightonSEO",30,false
"#ladiesday",11,false
"#r4today",1,false
"How Katie Hopkins",5,false
"#CallOrDelete",5,false
"#Daredevil",15,false
"#AppleWatch",21,false
"Naked Wines",15,false
"#FridayFeeling",40,false
"Big Society",23,false
"#BBCF1",1,false
"Majestic",2,false
"Eric Pickles",19,false
"Pennine Way",3,false
"#SFGlobal",1,false
"Ladies Day",7,false
"Roberto Merhi",2,false
"#AstronautProblems",10,false
"True Detective",2,false
"#WalkTheTube",5,false
"#ChrisHani",2,false
"iOS 8.3",6,false
"Aintree",5,false
"Michael Fallon",10,false
"Justin and Kendall",3,false
"#GetFitWithJD",4,false
"Vettel",6,false
"Will Stevens",3,false
"#askseb",8,false
"#RejectedCheesecakeFlavors",13,false
"#ChineseGP",15,false
"#SkyF1",12,false
"Richie Benaud",32,false
