"hashtag","count","promoted"
"clippers",2,false
"#revenge",3,false
"#madmen",3,false
"joan",1,false
"nick jonas",4,false
"blazers",1,false
"cole swindell",1,false
"kenny chesney",6,false
"#shebadatmidnight",6,false
"rascal flatts",1,false
"#secretsandlies",6,false
"#bloodsweatheels",6,false
"#demthrones",3,false
"jason aldean",9,false
"luke bryan",9,false
"beno udrih",2,false
"martina mcbride",5,false
"#onceuponatime",4,false
"#rhoa",14,false
"nelson cruz",5,false
"hawks",8,false
"#theoriginalhigh",4,false
"deron williams",6,false
"#potluckdinnerbands",5,false
"tim tebow",20,false
"the hawks",2,false
"#acmawards50",21,false
"#handwrittengifting",14,false
"#faqinhell",13,false
"brad stevens",1,false
"joe johnson",9,false
"lebron",4,false
"uncle drew",2,false
"evan turner",9,false
"#allincle",1,false
"#whataretheodds",14,false
"kyrie",14,false
"kelly olynyk",2,false
"kevin love",7,false
"celtics",9,false
"isaiah thomas",15,false
"cavs",11,false
"john tavares",1,false
"fantastic four",12,false
"#bucciovertimechallenge",7,false
"#byrnesstrong",2,false
"rogue one",17,false
"holtby",1,false
"josh trank",4,false
"#handwrittenbuyoutsday6",12,false
"cespedes",4,false
"#sundayfunday",12,false
"jim furyk",10,false
"#fakesuperherofacts",26,false
"#bahraingp",2,false
"rodgers",4,false
"liam is there",1,false
"tim sherwood",7,false
"liverpool",14,false
"how high",1,false
"glen johnson",2,false
"#supersoulsunday",4,false
"mediterranean",1,false
"gerrard",9,false
"villa",9,false
"benteke",4,false
"team tomlinson",1,false
"aston villa",5,false
"coutinho",3,false
"#goodlucklouis",21,false
"david silva",5,false
"yeah im really small",3,false
"#sunchat",6,false
"feliz domingo",3,false
"ethiopian christians",7,false
"james collins",5,false
"thomas tuchel",1,false
"west ham",12,false
"#uppers",3,false
"tornado watch",3,false
"#okcbombing",15,false
"up to 700",1,false
"tokyo dome",2,false
"good sunday",15,false
"ethiopian christians in libya",6,false
"#womenruntheworld",6,false
"#dumbdownasong",17,false
"forefront of worldwide changes",2,false
"joe hart",6,false
"#wearesorryluke",30,false
"paul pierce",4,false
"kirito",1,false
"chavez jr",2,false
"celebrity crush",8,false
"chrianna",3,false
"jakob silfverberg",2,false
"provodnikov",3,false
"matthysse",1,false
"#beenananonsolong",10,false
"lou reed",2,false
"jake t. austin",2,false
"bill withers",4,false
"abel and kanye",11,false
"#highwayfire",8,false
"jake t austin",2,false
"#shotsupdate",6,false
"put it up",27,false
"josh smith",2,false
"#lillyfortarget",54,false
"dwight howard",3,false
"harden",3,false
"rockets",6,false
"jason terry",1,false
"#ufcnewjersey",3,false
"#mynightmare",33,false
"dirk",14,false
"rondo",14,false
"mavs",18,false
"#matthysseprovodnikov",12,false
"corey brewer",17,false
"#chavezfonfara",23,false
"#jacobontourwithr5",25,false
