"hashtag","count","promoted"
"#mynightmare",2,false
"#matthysseprovodnikov",3,false
"dirk",4,false
"rondo",4,false
"josh smith",3,false
"crosby",6,false
"jason terry",7,false
"mavs",8,false
"dwight howard",7,false
"#outlandertrial",5,false
"bulls",5,false
"edmonton",4,false
"#orphanblack",11,false
"bucks",4,false
"d.rose",6,false
"oilers",4,false
"oj mayo",4,false
"#nhldraftlottery",11,false
"derrick rose",13,false
"ronaldinho",1,false
"#rockhall2015",5,false
"aaron brooks",5,false
"#seered",4,false
"shared belief",3,false
"#hospitalamovie",13,false
"#handwrittenbuyoutsday5",5,false
"#ufcnewjersey",22,false
"pelicans",8,false
"eric gordon",3,false
"draymond green",3,false
"#iwantdigi",5,false
"steph curry",4,false
"curry",3,false
"anthony davis",20,false
"warriors",12,false
"#callmecam",16,false
"norris cole",8,false
"#starwarsrebels",1,false
"mark jackson",15,false
"#facup",1,false
"kyle lowry",4,false
"lou will",8,false
"arsenal",2,false
"chelsea",5,false
"wizards",14,false
"ian desmond",3,false
"bradley beal",9,false
"paul pierce",22,false
"#shawnaccesspass",2,false
"falcao",6,false
"hazard",3,false
"drew gooden",6,false
"john wall",20,false
"ozil",1,false
"de gea",1,false
"tyler hansbrough",2,false
"#globalcitizenearthday",7,false
"raptors",7,false
"black eyed peas",2,false
"#nbaplayoffs",8,false
"mike thorne",3,false
"#tfii",2,false
"funky buddha",7,false
"#cashinin",5,false
"nadal",6,false
"#relationshiprulesin5words",22,false
"#satchatwc",3,false
"adriano",2,false
"camp nou",5,false
"nba playoffs",6,false
"#thaddeusmccarroll",3,false
"valencia",9,false
"everton",4,false
"#ladyprojectsummit",2,false
"baines",2,false
"claudio bravo",2,false
"prom day",2,false
"thigh",1,false
"#uppers",7,false
"been around the world",8,false
"taubman",2,false
"libertine",5,false
"#recordstoreday",42,false
"#satchat",11,false
"thigh tattoo",7,false
"#rsd15",2,false
"#baa5k",16,false
"good saturday",12,false
"sindy",2,false
"katie hopkins",18,false
"chelsea handler",17,false
"shea butter twitter",6,false
"#oceanamovie",17,false
"#janoskiansnewprank",12,false
"music core",10,false
"jalalabad",5,false
"a. alfred taubman",12,false
"#kyliejennerchallenge",20,false
"#howicopewithidiots",43,false
"josh collmenter",14,false
"#askparodycal",4,false
"erin andrews",10,false
"#themessengers",1,false
"crawford",22,false
"the pinkprints",5,false
"alex rodriguez",1,false
"lawrie",5,false
"mike trout",20,false
"jarret stoll",27,false
"#graceshow",4,false
"#spockquestionssonglyrics",28,false
"#proudoflouis",20,false
"#bamastatestyle",10,false
"#selfieforcarter",19,false
