"hashtag","count","promoted"
"lloyds",1,false
"machida",3,false
"ruslan",3,false
"#matthysseprovodnikov",4,false
"#crawforddulorme",5,false
"crawford",1,false
"rockhold",1,false
"jacare",9,false
"max holloway",7,false
"holloway",1,false
"derrick rose",11,false
"mark selby",5,false
"mcdavid",10,false
"#ufcnewjersey",13,false
"#askob",15,false
"pineapple express",10,false
"federici",5,false
"#hospitalamovie",9,false
"#preorderlovemeso",16,false
"derry",3,false
"father ted",10,false
"#casualty",1,false
"van gaal",13,false
"#motd",20,false
"robbie savage",11,false
"phil neville",3,false
"#bgmt",8,false
"arsenal",6,false
"#playtothewhistle",7,false
"#callmecam",16,false
"#vampsontour",11,false
"#bgt2015",26,false
"#ninjawarrioruk",9,false
"chelsea",14,false
"herrera",5,false
"di maria",7,false
"shaw",1,false
"ramsey",15,false
"giroud",6,false
"sanchez",11,false
"de gea",3,false
"reading",20,false
"rooney",5,false
"hazard",19,false
"danny murphy",1,false
"alexis",3,false
"ozil",9,false
"#relationshiprulesin5words",1,false
"mcnair",1,false
"come on united",3,false
"#cfcvmufc",9,false
"sheffield wednesday",3,false
"zouma",2,false
"#coyg",2,false
"#lcfc",6,false
"#bahraingp",7,false
"drogba",8,false
"falcao",24,false
"leigh",2,false
"debuchy",5,false
"bellerin",1,false
"wayward prince",6,false
"mk dons",3,false
"ross barkley",2,false
"steve morison",5,false
"ashley barnes",4,false
"half time",6,false
"ulloa",1,false
"tom ince",2,false
"barkley",2,false
"baines",7,false
"#coyb",3,false
"#jamesruchalukeya",3,false
"#toryproverbs",5,false
"hibs",6,false
"puffin billy",4,false
"arab spring",2,false
"afobe",6,false
"#recordstoreday",16,false
"gallant oscar",2,false
"#hibsfal",4,false
"dicko",3,false
"truth or dare",3,false
"#facupsemifinal",13,false
"falkirk",9,false
"vandoorne",2,false
"#oceanamovie",4,false
"game day",2,false
"selby",5,false
"#psauk",2,false
"thigh tattoo",4,false
"soccer am",13,false
"#saturdaykitchen",10,false
"katie hopkins",32,false
"#janoskiansnewprank",19,false
"former dpp",4,false
"1st xi",2,false
"charles moore",3,false
"jalalabad",11,false
"wakey wakey",1,false
"tiggy wiggy",10,false
"trussell trust",15,false
"#satchatuk",7,false
"animal farm",11,false
"gunners",2,false
"anzac day",4,false
"boro",1,false
"ukip",1,false
"#jalalabad",6,false
"#rsd15",25,false
"#matchday",10,false
"#rsduk",2,false
"#festivaloflife",1,false
"jason holder",6,false
"#ldjam",3,false
"jimmy anderson",9,false
"farage",12,false
"star wars",13,false
"man of steel",1,false
"clive james",3,false
"78 productions limited",1,false
"ben affleck",5,false
"#spockquestionssonglyrics",27,false
"#iloveheyvioletbecause",5,false
"like and subscribe",15,false
"#abortmission",9,false
"#selfieforcarter",6,false
"#proudoflouis",43,false
