"hashtag","count","promoted"
"Caju e Castanha",2,false
"Laura Muller",2,false
"MANDEM FOTOS DE VCS",3,false
"Tróia",1,false
"João e Maria",4,false
"QueremosMikaNoAltasHoras",4,false
"#BeloNoMultishow",4,false
"McGuimêNoAltasHoras",2,false
"#FestaForumParte2",6,false
"Mc Gui",4,false
"#FicoEmCasaNoSábadoPorque",9,false
"Brazil Needs Drew Van Acker",8,false
"#BeliebersOuvindoZonaLivreFM",4,false
"#BabilôniaCAP24",1,false
"QueremosMikaNaCapricho",8,false
"Ana Lu",2,false
"#QueremosRafaelELaísJuntos",10,false
"#AskLOX",16,false
"ComVocêAtéOFimIsabellaS",1,false
"#CurtaPolloOficialNoFacebook",2,false
"#GabyDominaNossoAltoAstral",9,false
"#CONGRATSOTY",1,false
"Rogério Ceni",17,false
"Lucas Gomes",12,false
"Red Bull",20,false
"Felipe Titto",2,false
"#WeWantTheSelectionMovie",25,false
"Jesus Luz",1,false
"Caldeirão",6,false
"Renato Augusto",3,false
"#Saltibum",15,false
"Brasil de Pelotas",9,false
"Bastille",17,false
"Rafael Moura",1,false
"Ponte",23,false
"Ponte Preta",1,false
"Luis Enrique",3,false
"QueremosMikaNaRádioTang",5,false
"#AskBex",10,false
"Bravo",1,false
"Sevilla",9,false
"Preta Gil",4,false
"#VeganOnions",31,false
"Parma",11,false
"PJBanalizemMelFnaCategoriaModa",3,false
"MTV Movie Awards",12,false
"Carol Ask",7,false
"Lucas Silva",5,false
"#HappySehunDay",19,false
"Beta Ask",9,false
"Lewandowski",10,false
"VOCÊS SÃO DE ONDE",24,false
"Gladbach",1,false
"#TalicksNoFMF",7,false
"QueremosMelFNoCDdaLuaB",16,false
"PratosEPanelasComNandaKeulla",10,false
"#5YearsSinceHarrysAudition",37,false
"Hot Digital Songs",1,false
"#TOPTVZ",18,false
"Popularidade de Lula",4,false
"#UmDiaEu",41,false
"#SpiceGirls20thReunion",1,false
"BBB Aline",4,false
"EU SOU VCS",5,false
"Peitos de Maconha",10,false
"EU SOU VC",1,false
"Nova Prata",4,false
"Swansea x Everton",5,false
"Ed Motta",5,false
"#vibbber",2,false
"Felipe Massa",1,false
"Gabriel Pensador",5,false
"#CallMeBaby5thWin",16,false
"#DesumanizaRedes",15,false
"Closer",3,false
"#ParabensProjota",4,false
"#ChineseGP",18,false
"McLaren",16,false
"MADRU DO PEITINHO EU FUI",17,false
"#CHURRASTUBE",3,false
"#ESPNtemMLB",3,false
"O Exorcista",1,false
"YouNow",17,false
"Prada",1,false
"Alesso",9,false
"#FavQueTeSigoComODio",56,false
"QUEM JA TA COM OS COLETES",18,false
"BECKY WHO",1,false
"Sesi",4,false
"Sérvia",13,false
"Jurassic Park",19,false
"Leia Hush Hush",12,false
"Coachella",20,false
"#AmandaNoViberDoGloss",6,false
"#ValentinoeSrDasTagsFavSDV",29,false
"#PaulaFernandesNoMultishow",15,false
"#WeWantFifthHarmonyInBrazil",17,false
"#OsExperientes",21,false
