"hashtag","count","promoted"
"#djskullblondienafreedom",2,false
"ana carolina",1,false
"#altashoras",4,false
"wesley safadão",4,false
"#cristianoaraujonolegendarios",1,false
"lyoto",7,false
"#playwhereareünowzonalivrefm",9,false
"mikanossoorgulho",5,false
"assistaboquinhamcbielnoyoutube",2,false
"eye candy",14,false
"#talicksnomariahfestshow",9,false
"bill",1,false
"renan",8,false
"#imaginedragonsnobis",15,false
"botafogo",15,false
"renan fonseca",1,false
"marlone",1,false
"cavalieri",16,false
"botafogo x fluminense",1,false
"marcelo mattos",2,false
"inspiraçãorafavitti",6,false
"#dulcemarianosbtbrasil",9,false
"wagner",4,false
"#gabysambandonabélgica",6,false
"#readbeautifuldisaster",4,false
"pimpão",6,false
"#7mesesparaaesperancaparte2",23,false
"tom brady",10,false
"caldeirão",7,false
"jonatas faro",7,false
"rodrigo simas",1,false
"#onedirectionnobrasil",30,false
"giuliano",3,false
"juventude",12,false
"#saltibum",11,false
"#callmecam",15,false
"vaiqueesuarodsimas",1,false
"#repanoei",3,false
"málaga",5,false
"we love you michael jackson",20,false
"reading",5,false
"chelsea",10,false
"de gea",3,false
"pool party",1,false
"hazard",9,false
"#mixersareexcitedforblackmagic",21,false
"#1yearofyouandi",14,false
"rooney",4,false
"griezmann",1,false
"chelsea x manchester united",5,false
"vettel",1,false
"sandro meira ricci",17,false
"nadal",6,false
"#cblol",21,false
"luade",2,false
"rode",1,false
"camp nou",6,false
"valencia",14,false
"barcelona x valencia",1,false
"shrek",8,false
"por 70",22,false
"#share2015cwb",8,false
"#toptvz",19,false
"neon lights",7,false
"#sportvf1",3,false
"implicante",4,false
"#cellattack",27,false
"#bemvindadulcemaria",33,false
"get back",4,false
"#callmebaby10thwin",6,false
"#applestoremorumbi",10,false
"masketta fall",4,false
"feliz sábado",17,false
"#theasianawards",1,false
"star wars",2,false
"niall and melissa",3,false
"adriano de souza",1,false
"#janoskiansnewprank",9,false
"peixoto",2,false
"camargo corrêa",18,false
"palocci",16,false
"#espntemsurfaovivo",1,false
"kelly slater",5,false
"#happybirthdayweeklychris",35,false
"#favqtesigosemmais",2,false
"crepúsculo",15,false
"new moon",14,false
"brincadeira dos famosos",2,false
"lua nova",27,false
"aline riscado",18,false
"#tamandanoshowdaanitta",34,false
"globo repórter",2,false
"we love hush hush",6,false
"tóquio",7,false
"rbd eu te amo",13,false
"se eu ficar",18,false
"#sextafeiraeeu",2,false
"#fernandoesorocabanomultishow",20,false
"#selfieforcarter",25,false
"#brazilneedsfifthharmony",15,false
"#proudoflouis",22,false
