"hashtag","4-02","4-03","4-04","4-05","4-06","4-07","4-08","4-09","4-10","4-11","4-12","4-13","4-14","4-15","4-16","4-17","4-18","4-19","4-20","4-21","4-22","4-23","4-24","4-25","4-26","4-27"
"spurs",0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0
"rolling stone",0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cubs",0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#rhoa",0,0,0,5,8,0,0,0,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,5,0
"#adtheseries",0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#madmen",0,0,0,8,40,0,0,0,0,0,6,23,0,0,0,0,0,0,42,0,0,0,0,0,0,16
"#mondaymotivation",0,0,0,0,45,0,0,0,0,0,0,45,0,0,0,0,0,0,17,0,0,0,0,0,0,21
"#openingday",0,0,0,0,43,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#caltrain",0,0,0,0,7,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"#musicmonday",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,7
"david price",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"mike trout",0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
"vin scully",0,0,0,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#ncaachampionship",0,0,0,0,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#dwts",0,0,0,0,8,0,0,0,0,0,0,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"good tuesday",0,0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,7,0,0,0,0,0,0
"rand paul",0,0,0,0,0,42,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#nationalbeerday",0,0,0,0,0,40,27,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#facetimemenash",0,0,0,0,0,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#letsmoveforward",0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#walterscott",0,0,0,0,0,21,48,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#rhobh",0,0,0,0,0,6,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"cody ross",0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"anthony davis",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,23,27,0,0,0,0,20,9,17,0
"pelicans",0,0,0,0,0,9,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0
"draymond green",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,13,0,0,0
"belt",0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
"#agentsofshield",0,0,0,0,0,0,16,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
