"hashtag","4-02","4-03","4-04","4-05","4-06","4-07","4-08","4-09","4-10","4-11","4-12","4-13","4-14","4-15","4-16","4-17","4-18","4-19","4-20","4-21","4-22","4-23","4-24","4-25","4-26","4-27"
"#celebrityawards2015",0,0,0,0,0,0,45,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ios 8.3",0,0,0,0,0,0,42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ياسر الشهراني",0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#tvoi",0,0,0,0,0,0,9,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"#selfieforseb",0,0,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0
"#masterchefar",0,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0
"isaiah thomas",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"cruzeiro",0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"river",0,0,0,0,0,0,0,15,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0
"#felizjueves",0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"성완종",0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"big sean",0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"jordan spieth",0,0,0,0,0,0,0,17,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"richie benaud",0,0,0,0,0,0,0,20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"김기춘",0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#vertigo",0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,11,0,0,0,0,0,7,12,0,0,0
"troy polamalu",0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"steph curry",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
"#buenviernes",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,15,0,0,0
"#wewantfifthharmonyinbrazil",0,0,0,0,0,0,0,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cacerolazo a maduro",0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tim duncan",0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
"#chinesegp",0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nyoy",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"chicharito",0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,12,0,0,0,27,0,0,0,0,0
"찬열선배",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
"#amici14",0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,19,0,0,0,0,0,0,13,0,0
"#mariobautista750k",0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
