"hashtag","count","promoted"
"Coachella",1,false
"QueremosMikaNaQuemAcontece",2,false
"Happy Birthday Shay Mitchell",2,false
"#FavQTeSigoNessaTagFoda",3,false
"Boca",3,false
"Galinha Preta Pintadinha",2,false
"#TaNoAr",4,false
"#McFlyMemory",4,false
"Ingrid Guimarães",4,false
"Leandro Donizete",1,false
"#ChapaQuente",6,false
"Donizete",6,false
"#TudoPelaAudiencia",3,false
"#TTcamTalicks",7,false
"#QueremosAlineGotschalgNaVip",3,false
"Marcos Rocha",6,false
"QueremosMikaCantandoNoPJB",7,false
"#RafaelVaiAtrásDaLaís",5,false
"Marcelo Grohe",12,false
"Grohe",1,false
"#ChrisLeaoChat",6,false
"Noia",4,false
"#AlineCadeMeuDinheiro",1,false
"Mamute",6,false
"Nóia",3,false
"#TudoPorVocêGaby",3,false
"Novo Hamburgo",9,false
"#HangoutLuanSantana",19,false
"#WorthItSpotifyPlaylist",10,false
"Narcisa",3,false
"Cobra e Jade",1,false
"FicaLigadoDuca",11,false
"CobradeNaSaudeENaDoenca",11,false
"Pretty Girls",5,false
"#AUsurpadora009",12,false
"#PERINAISBACK",21,false
"#majuresponde",12,false
"QualEOAndarMikaNoYoutube",7,false
"#FestaForum",15,false
"#TalicksNaPepsiClub",9,false
"True Detective",12,false
"Rock in Rio",9,false
"#VideoShowAoVivo",2,false
"Ed Motta",36,false
"Orange Is The New Black",4,false
"#sorrynotsorry",13,false
"Crefisa",2,false
"ANDY ASK",3,false
"#PrayForMamaSwift",42,false
"RATOS",1,false
"Tio Lucas",7,false
"Power Point",1,false
"Cleiton Xavier",2,false
"#NaTelinhaEntrevista",2,false
"Corinthians e São Paulo",2,false
"Palmeiras x Botafogo-SP",1,false
"SAUDADES JELENA",37,false
"#BemVindaAmanda",18,false
"CPI da Petrobras",18,false
"Vaccari",13,false
"MUITA CALMA NESTA HORA",1,false
"Duque de Caxias",4,false
"Milão",7,false
"Big Sean",6,false
"João Vaccari Neto",4,false
"#VendaRockinRio",23,false
"Mark Waid",10,false
"#ChefRafaLicksNoMV",16,false
"#CallMeBaby3rdWin",1,false
"BR-290",5,false
"O PALCO EH O LUGAR DELE",12,false
"Unesco",17,false
"Jariana",2,false
"iOS 8.3",2,false
"#2YearsOfParamore",11,false
"#borrachinha",10,false
"Frankie",5,false
"É O INTER",1,false
"Botafogo x Fluminense",3,false
"EU FUI CARALHO",1,false
"#DescubraOSegredo",7,false
"Beth Cooper",8,false
"Flamengo x Vasco",5,false
"POXA VIDA EM",20,false
"Alisson",3,false
"JUSTIN E ARIANA 2.0 EU FUI",2,false
"#HoneymoonTour",43,false
"#BielNaMinhaCama",34,false
"#FlyNaTrans",2,false
"Nova Iguaçu",13,false
"Taça Guanabara",19,false
"Bruno Grassi",5,false
"#FavQSigoAgoraComSraPeppa",55,false
"Rafael Moura",13,false
"Siri",10,false
"Happy Bday Kristen Stewart",47,false
"Guanabara",1,false
"Madureira",12,false
"#CelebrityAwards2015",3,false
"#DesimpedidosNoTheNoite",21,false
"Cruzeiro",11,false
