"hashtag","count","promoted"
"#MaxPlay5H",1,false
"Chris Evans",3,false
"#SantosFC103Anos",3,false
"Hulk",4,false
"#AskShawnHandwritten",3,false
"#VingadoresNaGlobo",4,false
"Loki",3,false
"Homem de Ferro",4,false
"Thor",6,false
"Capitão América",5,false
"#AvengersPremiere",8,false
"Almir",9,false
"Os Vingadores",1,false
"PaparazzoCemires",6,false
"Record 13.1",1,false
"#RafaelELaísNaPraia",8,false
"Jade Ask",4,false
"Brazil Needs Lucian",8,false
"GTA V",9,false
"Ancelo",11,false
"#GloboJaCaiu",14,false
"#QueremosP9NoMPN2015",19,false
"#GabyNossoAmorMaior",7,false
"The Maine",3,false
"#AaronsNewVideo",13,false
"Regina Duarte",9,false
"VOCÊS SÃO DE ONDE",3,false
"#TazerCraft2M",4,false
"Dalva",2,false
"PerinaComoSolELua",12,false
"BiDeixaSeuCoraçãoTeGuiar",1,false
"ADamaEstáBemDisposta",8,false
"#AUsurpadora011",10,false
"WeAreOneDuca",16,false
"#WhatsOnMyPhone",13,false
"#QueroVirarHetero",1,false
"Klose",8,false
"#OhNoNiall",35,false
"Louis e Liam",4,false
"Bad Blood",31,false
"#HandwrittenAtMidnight",17,false
"#SegundaFavSDVcomValentino",26,false
"#ChamaTamiresNaCapricho",5,false
"Homem-Formiga",6,false
"#TalitaMeninaLoreal",10,false
"#5HonKellyAndMichael",20,false
"DPVAT",4,false
"#EncontroComSantovitti",27,false
"Eduardo Galeano",33,false
"#MaisVocê",2,false
"#SuaBundaFede",13,false
"Prêmio Nobel de Literatura",1,false
"#MeuFreguêsé10",8,false
"Günter Grass",8,false
"Gl 1",1,false
"Alexandre Garcia",9,false
"Capela",2,false
"Saga",3,false
"Drake",44,false
"Paulista",1,false
"#gauchahoje",11,false
"Coachella",3,false
"Paulo Ricardo",1,false
"Segunda-feira 13",36,false
"#VilanelliDay",8,false
"#TUFBrasil",10,false
"Leash",4,false
"Thiaguinho",1,false
"Sandy",5,false
"Black Eyed Peas",50,false
"Body Rock",13,false
"#HandwrittenOniTunesBrazil",3,false
"#LuanNoTrofeuImprensa",1,false
"#xuxavaidormir",24,false
"#FavQTeSigoeSejaFeliz",32,false
"Pânico",6,false
"#diadobeijo",68,false
"Shogun",7,false
"WeAreProudOfShailene",1,false
"Danilo Gentili",14,false
"Neutrox",16,false
"Tianastácia",19,false
"André Marques",18,false
"#TUFBrasil4",3,false
"#MTVMovieAwards",7,false
"#GameOfThronesSeason5",10,false
"#TrofeuImprensa",10,false
"#Superstar",15,false
