"hashtag","count","promoted"
"Jason Heyward",5,false
"#Spurs",1,false
"#Cubs",6,false
"#MadMen",8,false
"#ADTheSeries",5,false
"#RHOA",5,false
"Notre Dame",2,false
"#NoMoreGOPWar",13,false
"#AskEmmy",1,false
"Kimbrel",1,false
"#MLBOpeningNight",3,false
"Cubs",6,false
"Rolling Stone",15,false
"#OpeningNight",1,false
"Spurs",10,false
"Twin Peaks",18,false
"#BlackGirlsRock",19,false
"Padres",7,false
"Paul George",6,false
"#20DaysOfDallas",4,false
"Braves",14,false
"#SJvRSL",2,false
"#StellarAwards30",10,false
"Bulls",2,false
"#KidInLoveAtMidnight",11,false
"Lon Simmons",23,false
"Joakim Noah",1,false
"Lebron",5,false
"Kyrie",3,false
"#RoastingOfLuke",12,false
"#NewShawnSongAtMidnight",7,false
"#ElderPearson",2,false
"JR Smith",11,false
"#ElderHales",1,false
"Russ",5,false
"Harden",6,false
"Westbrook",8,false
"Penguins",1,false
"James Harden",3,false
"Josh Smith",1,false
"Flyers",3,false
"#KINGYAMMOUNIsnapchat",12,false
"#Flyers",3,false
"Avery Johnson",11,false
"Kunitz",6,false
"Kurt Cobain",5,false
"#SelfieForJack",11,false
"Dion Waiters",1,false
"#NBAMVP",7,false
"Steve Mason",5,false
"#ElderHolland",5,false
"#rain",6,false
"#Quakes74",6,false
"American Oxygen",10,false
"#KenyaAttack",1,false
"Ivory Coast",1,false
"Jermaine Defoe",1,false
"#SisterWixom",1,false
"Sunderland",9,false
"Defoe",3,false
"Kristoff",1,false
"#BlackChurch",5,false
"#SuperSoulSunday",11,false
"LOUIS IS 5",12,false
"Felices Pascuas",7,false
"#COYS",3,false
"Ronaldo",3,false
"#IfBandsWereChocolate",15,false
"Duke",1,false
"Christ the Lord",1,false
"Burnley",3,false
"#JesusPickUpLines",41,false
"#JesusIsAlive",3,false
"He Lives",2,false
"HE IS ALIVE",3,false
"#HalaMadrid",5,false
"La Liga",6,false
"Because He",6,false
"Arbeloa",3,false
"Kroos",1,false
"Granada",10,false
"Good Sunday",1,false
"Benzema",3,false
"#SunriseService",7,false
"Christ is Risen",10,false
"#ResurrectionSunday",37,false
"#RealMadridvsGCF",1,false
"Lincoln Memorial",2,false
"He is Risen",1,false
"Carly Rae Jepsen",3,false
"Sunrise Service",5,false
"State Street",1,false
"#TerribleFastFoodItems",5,false
"Project X",5,false
"Michael Keaton",4,false
"#TheyreTheOne",16,false
"Frank Kaminsky",1,false
"#njattack",13,false
"#OnWisconsin",2,false
"#Wisconsin",1,false
"#Kentucky",5,false
"#HappyEaster",2,false
"#1DAFinCollege",10,false
"Happy Easter",70,false
"#The8thDeadlySin",15,false
"Lexington",13,false
"Andrew Harrison",46,false
"Damn Kentucky",2,false
"Towns",2,false
"Kaminsky",19,false
"Sam Dekker",4,false
"Coach Cal",7,false
"Ashley Judd",21,false
"Calipari",20,false
"#ASKCHRISTIAN",18,false
"#RespectForZayn",25,false
"#FinalFour",40,false
