"hashtag","count","promoted"
"#tedxjrslm",6,false
"Maccabi Tel Aviv",10,false
"maccabi haifa",10,false
"#ClothesPinChallenge",29,false
"Worth",34,false
"PM Netanyahu",1,false
"Iranian",4,false
"kim and kanye",6,false
"real madrid",8,false
"Putin",12,false
"#IsraelMissJB",49,false
"#motavatormonday",54,false
"Maccabi Haifa",48,false
"#TedxJerusalem",25,false
"#Guess1DFifthAlbumTitle",69,false
"#Hamas",14,false
"#GAZA",5,false
"S-300",68,false
"#russia",4,false
"Welcome to Israel",6,false
"#KimYeinIsrael",22,false
"kim kardashian",33,false
"hillary",48,false
"Hillary",2,false
"Jews",69,false
"Holocaust",65,false
"welcome to israel",36,false
"#Gaza",72,false
"#MOTAVATORMONDAY",41,false
"#HandwrittenAtMidnight",4,false
"#nufc",15,false
"Real Madrid",15,false
"#WhatsOnMyPhone",66,false
