"hashtag","count","promoted"
"#LiesEveryoneTells",1,false
"Michael Irvin",3,false
"Wade",3,false
"Shaka Smart",4,false
"#FREEJackAndJackGame",4,false
"#AmericanCrime",4,false
"Trevor Cahill",2,false
"Tristan Thompson",2,false
"#LipSyncBattle",6,false
"Joplin",5,false
"Purple Rain",3,false
"#SmackDown",6,false
"#Scandal",11,false
"#GreysAnatomy",7,false
"James Jones",8,false
"Cassandra Brown",8,false
"Kevin Pangos",2,false
"#CapsHabs",16,false
"#DCision15",7,false
"Obama's Iran",3,false
"#CapFabbAcademy",7,false
"Qaeda",2,false
"#KenyaAttack",2,false
"Josh Freeman",11,false
"Amber Rose",21,false
"Ness",5,false
"#RisingStar",4,false
"Amber and Wiz",3,false
"Neville Chamberlain",2,false
"Full House",28,false
"#RiseAbove",11,false
"#5SOSPLAYTOKYO",12,false
"Jealous",5,false
"GameStop",8,false
"#leadersdebate",21,false
"John Kerry",2,false
"Kenya",12,false
"#BankOnStudents",5,false
"#AddBunnyToAMovie",2,false
"Mr. Show",2,false
"Tom Cotton",2,false
"RIP Harry Styles",14,false
"Amy Winehouse",4,false
"Winnie the Pooh",21,false
"#ThingsJesusNeverSaid",3,false
"#WorldAutismAwarenessDay",1,false
"#differentdebt",12,false
"#UMatter",11,false
"#IranDeal",32,false
