"hashtag","count","promoted"
"One Shining Moment",1,false
"#MyTombstoneIn5Words",1,false
"Frank",1,false
"Coach K",1,false
"Tyus Jones",4,false
"#SouthernCharm",1,false
"Kaminsky",4,false
"#BetterCallSaul",5,false
"JJ Watt",5,false
"Winslow",8,false
"Quinn Cook",3,false
"Okafor",6,false
"Duke",3,false
"Plumlee",1,false
"Grayson Allen",9,false
"Duke or Wisconsin",1,false
"#BlackInkCrew",4,false
"Zac Brown Band",1,false
"Frank Ocean",8,false
"#NCAAChampionship",8,false
"Neville",3,false
"Altuve",1,false
"#TheVoice",1,false
"Elena",5,false
"Nina Dobrev",2,false
"#2015HHA",9,false
"Ryback",3,false
"#DWTS",13,false
"Rick Porcello",6,false
"#HHA2015",2,false
"#LHHNYReunion",13,false
"#FreeAmirNow",1,false
"Grilli",2,false
"Dee Gordon",2,false
"#CSISLive",5,false
"Kevin Gregg",1,false
"Mejia",7,false
"Lucas Duda",1,false
"#Orioles",1,false
"Hanley Ramirez",1,false
"#GoldenShawnAccessPass",9,false
"Mets",9,false
"Desmond",1,false
"Kershaw",1,false
"Dave Bliss",11,false
"Seth Smith",5,false
"Marlins",3,false
"#Nats",12,false
"#Mets",3,false
"#RedSox",13,false
"De Aza",4,false
"Matt Kemp",8,false
"Mike Trout",16,false
"#IOnceDatedSomeoneWho",16,false
"Crystal Palace",8,false
"#Natitude",4,false
"Hamels",2,false
"David Price",6,false
"#ImmigrationAction",9,false
"Alex Rodriguez",1,false
"#Snowden",2,false
"#BedtimeStoriesTour",1,false
"#EasterEggRoll",8,false
"Tanaka",3,false
"Rand Paul",9,false
"Blue Jays",1,false
"Yankees",8,false
"#SecDef",8,false
"Phil Hughes",2,false
"Jose Reyes",6,false
"#MusicMonday",1,false
"Bad Blood",2,false
"Jeter",1,false
"A-Rod",9,false
"#friendzone",7,false
"#HealthWorkersCount",1,false
"Officer Collier",1,false
"Dikembe Mutombo",3,false
"Marvin",6,false
"Spencer Haywood",1,false
"Louie Dampier",1,false
"#healthworkerscount",3,false
"All Hands On Deck",5,false
"Reasonable Doubt",3,false
"#data4dev",2,false
"#ForeverRoyal",1,false
"Judge O'Toole",2,false
"#NPHW",26,false
"Jeb Bush",24,false
"Championship Monday",8,false
"#BrewersOpener",3,false
"Dr. Greenblatt",3,false
"Spotify",10,false
"Victor Gotbaum",1,false
"Twitter and YouTube",3,false
"Easter Monday",8,false
"Masters Week",2,false
"""Hispanic""",5,false
"#morningjoe",5,false
"White House Easter Egg Roll",2,false
"I-85",2,false
"Shebab",1,false
"#MondayMotivation",19,false
"Groundwater Crisis Grows",6,false
"Oba of Lagos",6,false
"#TheyreTheOne",3,false
"Igbos",2,false
"#GimmeFive",33,false
"#OpeningDay",52,false
"#BFC530",1,false
"Good Monday",6,false
"LIAM PASUBO",5,false
"B.A.P.S",1,false
"Daigo",2,false
"Tear In My Heart",1,false
"Happy Easter",23,false
"#Unpopular80sBands",39,false
"Wolf Hall",2,false
"Flor",20,false
"Send Me Emojis",19,false
"#RHOA",23,false
"Twin Peaks",6,false
"Edward Snowden",56,false
"#KidInLoveOniTunes",24,false
"#ADTheSeries",2,false
"SEND ME EMOJIS",6,false
"Cubs",10,false
"#OneDirection",10,false
"Rolling Stone",16,false
"#BlackGirlsRock",32,false
"#MadMen",30,false
