"hashtag","count","promoted"
"christian bale",1,false
"man of steel",2,false
"#spockquestionssonglyrics",2,false
"#selfieforcarter",2,false
"#iloveheyvioletbecause",4,false
"rambo",3,false
"rccg",1,false
"#proudoflouis",11,false
"78 productions limited",9,false
"ben affleck",13,false
"clive james",15,false
"zayn malik",1,false
"#laterjools",12,false
"#abortmission",19,false
"jessie ware",7,false
"#grahamnorton",5,false
"#bbc4",19,false
"windies",11,false
"jason holder",25,false
"middlesbrough",1,false
"#newjanoskiansvideotonight",24,false
"dragons",1,false
"boro",20,false
"#gogglebox",22,false
"hopkins",4,false
"sandy and sandra",1,false
"#hignfy",11,false
"william sitwell",2,false
"jimmy anderson",23,false
"hoolahan",5,false
"#chickennuggetchallenge",3,false
"zayns",4,false
"bamford",14,false
"murrayfield",1,false
"howson",1,false
"come on boro",1,false
"#askthevamps",12,false
"#theasianawards",15,false
"ukip 17%",7,false
"uma thurman",1,false
"#starwarsbattlefront",8,false
"perez",5,false
"#stressreliefin4words",19,false
"randolph",16,false
"operation elveden",14,false
"joe root",4,false
"elveden",2,false
"ashcroft",14,false
"#aftertastevideo",15,false
"alexander pacteau",1,false
"east renfrewshire",4,false
"robot boy",2,false
"aye well",1,false
"#scotriots",23,false
"#dl2015",1,false
"presenting junior",4,false
"goodison park",6,false
"chris zebroski",5,false
"#shawnongma",8,false
"riyadh",12,false
"#bahraingp",17,false
"great portland street",8,false
"#skyf1",3,false
"rojo and jones",2,false
"iain duncan smith",30,false
"bloomberg",1,false
"no carrick",8,false
"mike leigh",11,false
"peterloo massacre",1,false
"#lbe2015",14,false
"#techlondon",14,false
"alan devonshire",4,false
"#footballshirtfriday",31,false
"#ldinsight",4,false
"becky watts",3,false
"#africandivarealityshow",2,false
"moore's law",2,false
"#equalatwork",37,false
"kenneth branagh",19,false
"melissa",9,false
"the westminster",2,false
"christine lagarde",19,false
"#fridayfeeling",50,false
"#thelist",4,false
"#freshat5",3,false
"niall and melissa",14,false
"batman vs superman",37,false
"nicola sturgeon",4,false
"#bbcdebate",2,false
"wolfsburg",1,false
"richard desmond",3,false
"douglas carswell",1,false
"#moviequotecombos",6,false
"#addblartimproveamovie",15,false
"danny alexander",7,false
"lord janner",9,false
"leanne wood",2,false
"star wars",10,false
"#saa2015",2,false
"the x factor",4,false
"#olympustv",5,false
"#24hrinspire",8,false
"#reasonwhysomeonewouldkillme",21,false
"#bbcqt",2,false
