"hashtag","count","promoted"
"worth it",11,false
"#اكتب_كلمه_من_لهجتك_وترجمها",14,false
"worth",10,false
"iranian",9,false
"#yallamaccabi",31,false
"#מכביפנר3",32,false
"amit",3,false
"herzliya",33,false
"#shebadtonumberone",38,false
"hamas",1,false
"#كلمه_تسمعها_تسعدك",15,false
"arab",22,false
"#motavatormonday",53,false
"independence day",52,false
"#telaviv",26,false
"arabs",5,false
"#bigdata",52,false
"#proudoflouis",2,false
"#avfc",13,false
"america",26,false
"#coys",12,false
"torah",80,false
"#مهرجان_جرش",9,false
"nash",8,false
"ukraine",7,false
"man united",39,false
"fa cup",62,false
"gaza",63,false
"europe",44,false
"#libya",48,false
"#facup",26,false
"#underwarrior",9,false
"#savetheundies",39,false
"#goodlucklouis",56,false
