"hashtag","count","promoted"
"kawhi leonard",2,false
"jared leto",3,false
"the truth",4,false
"#whereiwaswhenzaynquit",5,false
"wendy williams",5,false
"#cuffmedanny",4,false
"khloe",7,false
"dirk",3,false
"monta ellis",1,false
"dan boyle",1,false
"#yelpreviewsoffictionallocales",4,false
"corey brewer",1,false
"jason garrett",5,false
"#bringit",11,false
"#brucejennerabc",2,false
"drew gooden",4,false
"#grimm",1,false
"joker",12,false
"#sharktank",1,false
"#summerreflection",9,false
"bruce jenner",11,false
"teixeira",1,false
"bryan stevenson",1,false
"jj barea",3,false
"#askplaylist",1,false
"#backitup",9,false
"richard jefferson",3,false
"raymond felton",6,false
"#5hpoolparty",6,false
"#subwayseries",7,false
"vezina",5,false
"#trevorlive",1,false
"josh hamilton",16,false
"#sexualsecrets",8,false
"#handwrittenonspotify",3,false
"#ifiwereascientistiwould",6,false
"#vzwbuzz",4,false
"frank miller",21,false
"prince of pop",9,false
"#saysomethingniceabouthillary",33,false
"#askoutlander",9,false
"#awkwardgreetingsin5words",29,false
"statue of liberty",21,false
"malik newman",12,false
"tom's diner",27,false
"#twentyonepilotsmtv",5,false
"diet pepsi",6,false
"debby ryan",4,false
"buddy hield",7,false
"#rdmapartywithjacob",4,false
"blue ivy",32,false
"#happybirthdaycaspar",3,false
"richard corliss",21,false
"gary bettman",6,false
"lanny davis",3,false
"state of the union",7,false
"#arborday",33,false
"gordon macdonald",1,false
"#creativemornings",1,false
"#smbmsp77",4,false
"#creativitycon",2,false
"danzig moon",4,false
"#flashbackfriday",37,false
"time warner cable",11,false
"#avengersgma",4,false
"#fridayreads",23,false
"michael lewis",6,false
"happy birthday caspar",2,false
"juve",3,false
"barca vs bayern",2,false
"t.g.i.f",5,false
"sawyer sweeten",2,false
"#whyineed48hoursinaday",33,false
"juventus",9,false
"#foxflashbackfriday",3,false
"camp nou",6,false
"real madrid vs juventus",2,false
"#ucldraw",9,false
"europa league",1,false
"finally friday",9,false
"#ashucries",2,false
"#papercut",4,false
"hoursafter12 - sound wave",1,false
"monty williams",3,false
"speights",3,false
"#ifa15gpc",3,false
"#ripmcdreamy",4,false
"grey's anatomy",1,false
"#westfieldstagecollapse",18,false
"everybody loves raymond",26,false
"#dentistafilm",18,false
"#scandai",1,false
"milika",10,false
"#selfiepolice",9,false
"warriors",17,false
"anthony davis",20,false
"draymond green",13,false
"golden state",1,false
"harrison barnes",7,false
"the pelicans",1,false
"steph curry",28,false
"kevin love",1,false
"evan turner",1,false
"blac chyna",1,false
"#americancrime",12,false
"yordano ventura",21,false
"#jacobchat",8,false
"#mattsnewvideo",11,false
"#xtremeshakespeare",33,false
"ryan anderson",6,false
"#greysanatomy",19,false
