"hashtag","count","promoted"
"Brandon Belt",1,false
"Anthony Davis",1,false
"Pels",1,false
"#FindingCarter",3,false
"Rahm Emanuel",3,false
"#UConn",1,false
"Carter 6",2,false
"Pelicans",5,false
"#BeingMaryJane",5,false
"Sens",6,false
"#BestShow100",1,false
"Cody Martin",2,false
"Halak",3,false
"#AgentsofSHIELD",4,false
"Coulson",1,false
"Five Nights",4,false
"Kawhi Leonard",9,false
"#RHONY",10,false
"The Devils",2,false
"#colleenscornerlive",8,false
"#HandwrittenLivestreamEvent",7,false
"Steve Pearce",6,false
"Milton Street",7,false
"Mat Latos",15,false
"Grace of Monaco",2,false
"#20DayOfDallas",5,false
"#WalterScott",22,false
"Cliff Alexander",9,false
"#MakeAKidShowSerious",17,false
"Stan Freberg",22,false
"Tron 3",1,false
"Deus Ex",14,false
"#FaceTimeMeNash",28,false
"#AskJonah",2,false
"Arrested Development",23,false
"Pepco",1,false
"#AllTimeLowMTV",8,false
"Will Wade",2,false
"Torrey Ward",13,false
"HBO Now",28,false
"#HowIDieInTheZombieApocalypse",19,false
"American Pie",2,false
"#MayaForever",5,false
"#IGaveItTheOldCollegeTryBut",1,false
"Easter Prayer Breakfast",2,false
"#stlwx",6,false
"Odin Lloyd",10,false
"#BBMAs",11,false
"Brontosaurus",13,false
"#capitalw",4,false
"#CapitalW",3,false
"Greg Jennings",2,false
"Billie Holiday",22,false
"#BadChoiceFuneralSongs",44,false
"James Best",35,false
"Rand Paul",41,false
"NONE OF THE ABOVE",4,false
"#morningjoe",2,false
"Sen. John McCain",1,false
"YouTube Kids",4,false
"8 Iranian",4,false
"#ElectionDay",8,false
"Yokai Watch",3,false
"#NationalBeerDay",57,false
"#AlfieOnTM",6,false
"Good Tuesday",12,false
"SAUSAGE KEEP IT GOING",3,false
"#BFC530",3,false
"New Castle",9,false
"#WorldHealthDay",52,false
"Stephen Vogt",2,false
"RIP TVD",9,false
"Trap House 5",5,false
"#OneShiningMoment",1,false
"#Unpopular90sBands",8,false
"Sonny Gray",7,false
"#MexicanProblems",3,false
"#askpiamia",9,false
"Congrats to Duke",6,false
"Coach K",3,false
"Durham",1,false
"#FutureHearts",2,false
"#NCAAChampionship",1,false
"#SFGiants",11,false
"#BetterCallSaul",16,false
"Quinn Cook",6,false
"Kaminsky",5,false
"Winslow",17,false
"Bo Ryan",19,false
"Okafor",16,false
"One Shining Moment",20,false
"#MyTombstoneIn5Words",36,false
"Tyus Jones",20,false
"Grayson Allen",19,false
"Duke",16,false
