"hashtag","count","promoted"
"Phil Coke",3,false
"Curt Schilling",1,false
"#MadMen",8,false
"Spurs",5,false
"#KUWTK",4,false
"#ADTheSeries",10,false
"#RHOA",12,false
"#IfThereBeThorns",3,false
"#NoMoreGOPWar",6,false
"#AskEmmy",3,false
"God Bless America",1,false
"Rolling Stone",15,false
"Cubs",15,false
"Fall Out Boy",1,false
"#OpeningNight",1,false
"LeBron",3,false
"#BlackGirlsRock",19,false
"Twin Peaks",20,false
"Lon Simmons",2,false
"#OMGrandeGames",3,false
"Paul George",12,false
"Padres",3,false
"Braves",21,false
"Jordan Spieth",1,false
"Kimbrel",1,false
"#StellarAwards30",13,false
"#sebsnewvideo",2,false
"Bulls",3,false
"#KidInLoveAtMidnight",15,false
"#CavsBulls",1,false
"Joakim Noah",3,false
"Lebron",5,false
"Kyrie",4,false
"#RoastingOfLuke",13,false
"#NewShawnSongAtMidnight",4,false
"JR Smith",12,false
"#ElderPearson",3,false
"Morrow",2,false
"Russ",5,false
"#OKCvsHOU",1,false
"Flyers",2,false
"Westbrook",10,false
"James Harden",11,false
"Josh Smith",1,false
"#KINGYAMMOUNIsnapchat",11,false
"#Flyers",4,false
"Avery Johnson",12,false
"Kunitz",6,false
"Kurt Cobain",5,false
"#SelfieForJack",11,false
"Steve Mason",5,false
"#NBAMVP",8,false
"#ElderHolland",7,false
"American Oxygen",10,false
"#ElderTeixeira",2,false
"Ivory Coast",1,false
"Jermaine Defoe",1,false
"Sunderland",10,false
"Defoe",3,false
"Kristoff",1,false
"#BlackChurch",7,false
"#SuperSoulSunday",13,false
"LOUIS IS 5",12,false
"#uppers",2,false
"Ronaldo",3,false
"#COYS",6,false
"#IfBandsWereChocolate",17,false
"Christ the Lord",1,false
"Burnley",3,false
"#JesusPickUpLines",38,false
"#JesusIsAlive",7,false
"La Liga",5,false
"HE IS ALIVE",3,false
"#HalaMadrid",5,false
"He Lives",3,false
"Because He",8,false
"Arbeloa",3,false
"#HalaMadridYNadaMas",1,false
"Kroos",1,false
"Granada",10,false
"Good Sunday",1,false
"Benzema",3,false
"Christ is Risen",11,false
"#ResurrectionSunday",35,false
"#RealMadridvsGCF",3,false
"Felices Pascuas",7,false
"#SunriseService",11,false
"Lincoln Memorial",2,false
"#3style",1,false
"Carly Rae Jepsen",4,false
"Sunrise Service",4,false
"State Street",1,false
"Project X",4,false
"He is Risen",1,false
"#TerribleFastFoodItems",12,false
"Michael Keaton",4,false
"Frank Kaminsky",1,false
"#WISvsUK",1,false
"#njattack",15,false
"#Wisconsin",6,false
"#UKvsWIS",1,false
"Duke",1,false
"#1DAFinCollege",21,false
"Happy Easter",66,false
"#The8thDeadlySin",17,false
"Lexington",13,false
"Andrew Harrison",47,false
"Damn Kentucky",2,false
"Towns",2,false
"Kaminsky",19,false
"Sam Dekker",4,false
"Coach Cal",7,false
"Ashley Judd",21,false
"Calipari",19,false
"#RespectForZayn",25,false
"#ASKCHRISTIAN",18,false
"#FinalFour",12,false
