"hashtag","count","promoted"
"Michael Irvin",2,false
"#110AñosDePasionCABJ",2,false
"Andressa Urach",3,false
"Jumat Agung",2,false
"Shaka Smart",4,false
"Mpok Nori",5,false
"#TaNoAr",5,false
"#LipSyncBattle",6,false
"Tarrago Ros",2,false
"Alckmin",7,false
"#Scandal",5,false
"#ScandaI",1,false
"Cateriano",5,false
"#SmackDown",1,false
"Airbag",5,false
"Brazil Needs Keegan Allen",1,false
"Ferrer",2,false
"Plantão da Globo",7,false
"#FREEJackAndJackGame",13,false
"Cassandra Brown",3,false
"#TeLoDigoAsiDe1Na",5,false
"#Samukano1D",16,false
"#TeLoDigoConUnaFraseDeRock",12,false
"Amber Rose",15,false
"#WhosBallsAreSore",2,false
"#BenimRektörümRaşitTükel",4,false
"Amber",2,false
"Elena Must Remember Damon",9,false
"#bbcqt",11,false
"Megadeth",11,false
"#100faktowomnie",10,false
"Mahmut Ak",3,false
"Full House",20,false
"Kenya",16,false
"Hezonja",3,false
"200K IGOISTAS Y TU VIEJA",8,false
"#5SOSPLAYTOKYO",12,false
"Leksand",1,false
"Celli TU SONRISA NOS ILUMINA",2,false
"#TPMP5ans",15,false
"QUANDO É O ANIVER DE VCS",7,false
"#TP15",13,false
"Rose Garden",1,false
"Winnie the Pooh",6,false
"Manoel de Oliveira",2,false
"Malvinas",11,false
"#TarıkAkanYalnızDeğildir",2,false
"#HappyBirthdayPattieMallette",1,false
"#VoteKatnissMTV",6,false
"#leadersdebate",32,false
"#IranTalks",12,false
"RIP Harry Styles",19,false
