"hashtag","count","promoted"
"kelechi iheanacho",1,false
"#royaltyvideooutnow",1,false
"#dorsethour",2,false
"#leaderinterviews",2,false
"bournemouth",2,false
"#afcb",1,false
"jackie bird",4,false
"david coburn",5,false
"#snakebathchallenge",6,false
"konami",8,false
"#baileysvideomessage",8,false
"#skeemsaam",1,false
"ted 2",10,false
"wolf alice",1,false
"nepal to 70007",6,false
"#theapprentice",11,false
"billy corgan",9,false
"#officeschmovies",11,false
"claude littner",3,false
"ukip 11%",14,false
"#notmytypeatallvideo",16,false
"#liamisthepoolcleaner",12,false
"sir oliver popplewell",3,false
"southwell",1,false
"#ideafinal15",3,false
"yvette cooper",11,false
"#musicmonday",8,false
"refused",18,false
"#thetideaustinqanda",9,false
"tullis russell",11,false
"#askmaz",1,false
"arlene foster",2,false
"#herefordhour",4,false
"telegraph",4,false
"david dunn",10,false
"daniel sturridge",5,false
"snp 54%",13,false
"#victorialive",10,false
"len mccluskey",1,false
"london fashion week",27,false
"cchq",2,false
"#worldtapirday",22,false
"stephen hawking",23,false
"fight week",2,false
"morning monday",2,false
"lynx",4,false
"jo malone",11,false
"hello monday",4,false
"jim wells",15,false
"victoria line",6,false
"battle bus",3,false
"deutsche bank",4,false
"summertime ball",2,false
"stamp duty",4,false
"#capitalstb",15,false
"mount everest",6,false
"#congratson8millionzoe",12,false
"fabregas",2,false
"#freedomday",31,false
"#mondaymotivation",47,false
"arsenal",6,false
"everton",7,false
"#outlawqueen",1,false
"nepal",9,false
"chelsea",10,false
"sierra leoneans",2,false
"#infinity",7,false
"raptors",1,false
"#daytimeemmys",3,false
"#thesexxtape",1,false
"krio",3,false
"#whatmatterstome",38,false
"salone",1,false
"sierra leone",1,false
"jon jones",6,false
"#rhoareunion",7,false
"#extremerules",15,false
