"hashtag","count","promoted"
"hebron",2,false
"pm netanyahu",11,false
"Liverpool",10,false
"#זה_שאינו_יודע_לשאול",25,false
"kiryat arba",36,false
"#Pesach2015",1,false
"ليث ابو جوده",9,false
"#NabiSaleh",49,false
"#leadersdebate",2,false
"Chag Sameach",50,false
"#Pesach",2,false
"Easter",3,false
"PM Netanyahu",9,false
"beer sheva",4,false
"#Passover",4,false
"raheem sterling",6,false
"Seder",27,false
"#Netanyahu",36,false
"#Hebron",53,false
"#אשכנזי_במוסך",80,false
"Middle East",2,false
"Dubai",51,false
"#KENYA",6,false
"#IranTalks",5,false
"Hebron",8,false
"Happy Passover",84,false
"#OneDirection",7,false
"Kenya",17,false
"Beer Sheva",3,false
"Raheem Sterling",26,false
"#الخليل",12,false
"#LeadersDebate",23,false
"#Aden",48,false
"#TheyreTheOne",33,false
"Passover",7,false
"West Bank",74,false
"#IranDeal",70,false
"Kiryat Arba",55,false
